symbol,name,exchange,ipoDate,delistingDate,status
A,Agilent Technologies Inc,NYSE,11/18/1999,null,Active
AA,Alcoa Inc,NYSE,11/1/2016,null,Active
AACG,ATA Inc,NASDAQ,1/29/2008,null,Active
AACQ,Artius Acquisition Inc - Class A,NASDAQ,9/4/2020,null,Active
AACQU,Artius Acquisition Inc Unit 1 Com & 13 Wt Exp 2025,NASDAQ,7/14/2020,null,Active
AACQW,Artius Acquisition Inc - Warrants (13/07/2025),NASDAQ,9/4/2020,null,Active
AAL,American Airlines Group Inc,NASDAQ,9/27/2005,null,Active
AAMC,Altisource Asset Management Corp,NYSE MKT,12/13/2012,null,Active
AAME,Atlantic American Corp,NASDAQ,9/7/1984,null,Active
AAN,Aarons Inc,NYSE,9/7/1984,null,Active
AAOI,Applied Optoelectronics Inc,NASDAQ,9/26/2013,null,Active
AAON,AAON Inc,NASDAQ,12/16/1992,null,Active
AAP,Advance Auto Parts Inc,NYSE,11/29/2001,null,Active
AAPL,Apple Inc,NASDAQ,12/12/1980,null,Active
AAT,American Assets Trust Inc,NYSE,1/13/2011,null,Active
AAU,Almaden Minerals Ltd,NYSE MKT,12/20/2005,null,Active
AAWW,Atlas Air Worldwide Holdings Inc,NASDAQ,11/9/2005,null,Active
AAXN,Axon Enterprise Inc,NASDAQ,6/7/2001,null,Active
AB,AllianceBernstein Holding LP,NYSE,4/15/1988,null,Active
ABB,ABB Ltd ADR,NYSE,4/6/2001,null,Active
ABBV,AbbVie Inc,NYSE,1/2/2013,null,Active
ABC,AmerisourceBergen Corp,NYSE,4/4/1995,null,Active
ABCB,Ameris Bancorp,NASDAQ,5/19/1994,null,Active
ABEO,Abeona Therapeutics Inc,NASDAQ,9/19/1980,null,Active
ABEV,Ambev SA,NYSE,3/5/1997,null,Active
ABG,Asbury Automotive Group Inc,NYSE,3/21/2002,null,Active
ABIO,ARCA biopharma Inc,NASDAQ,8/8/1997,null,Active
ABM,ABM Industries Inc,NYSE,7/19/1984,null,Active
ABMD,ABIOMED Inc,NASDAQ,7/30/1987,null,Active
ABR,Arbor Realty Trust Inc,NYSE,4/7/2004,null,Active
ABR-P-A,Arbor Realty Trust Preferred Series A,NYSE,9/22/2014,null,Active
ABR-P-B,Arbor Realty Trust Cumulative Redeemable Preferred Series B,NYSE,9/22/2014,null,Active
ABR-P-C,Arbor Realty Trust Cumulative Redeemable Preferred Series C,NYSE,2/24/2014,null,Active
ABT,Abbott Laboratories,NYSE,4/6/1983,null,Active
ABTX,Allegiance Bancshares Inc,NASDAQ,10/8/2015,null,Active
ABUS,Arbutus Biopharma Corp,NASDAQ,8/3/2015,null,Active
AC,Associated Capital Group Inc Class A,NYSE,12/1/2015,null,Active
ACA,Arcosa Inc,NYSE,10/30/2018,null,Active
ACAD,ACADIA Pharmaceuticals Inc,NASDAQ,5/27/2004,null,Active
ACAM,Acamar Partners Acquisition Corp,NASDAQ,5/9/2019,null,Active
ACAMU,Acamar Partners Acquisition Corp Unit 1 Ordinary Class A 033 War,NASDAQ,2/22/2019,null,Active
ACAMW,Acamar Partners Acquisition Corp Warrants 22022024,NASDAQ,4/15/2019,null,Active
ACB,Aurora Cannabis Inc,NYSE,7/11/2014,null,Active
ACBI,Atlantic Capital Bancshares Inc,NASDAQ,11/2/2015,null,Active
ACC,American Campus Communities Inc,NYSE,8/12/2004,null,Active
ACCD,Accolade Inc,NASDAQ,7/1/2020,null,Active
ACCO,ACCO Brands Corp,NYSE,8/17/2005,null,Active
ACEL,Accel Entertainment Inc Class A1,NYSE,1/2/2001,null,Active
ACEL-WS,,NYSE,11/21/2019,null,Active
ACER,Acer Therapeutics Inc,NASDAQ,9/22/2017,null,Active
ACEVU,ACE Convergence Acquisition Corp Units 1 Ord Cl A & 12 Red Wt 09302027,NASDAQ,7/28/2020,null,Active
ACGL,Arch Capital Group Ltd,NASDAQ,9/14/1995,null,Active
ACGLO,Arch Capital Group Ltd Depositary Shares Each Representing 11000th Interest in a Share of545 NonCumulative Preferred Shares Series F,NASDAQ,8/15/2017,null,Active
ACGLP,Arch Capital Group Ltd Depositary Shares Representing Interest in 525 NonCumulative Preferred Series E Shrs,NASDAQ,9/23/2016,null,Active
ACH,Aluminum Corporation Of China Ltd,NYSE,12/11/2001,null,Active
